Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),April 2013 to March 2014: volume,April 2013 to March 2014: digital volume,April 2013 to March 2014: cost per transaction (£),July 2013 to June 2014: volume,July 2013 to June 2014: digital volume,July 2013 to June 2014: cost per transaction (£),October 2013 to September 2014: volume,October 2013 to September 2014: digital volume,October 2013 to September 2014: cost per transaction (£),January 2014 to December 2015: volume,January 2014 to December 2015: digital volume,January 2014 to December 2015: cost per transaction (£),April 2014 to March 2015: volume,April 2014 to March 2015: digital volume,April 2014 to March 2015: cost per transaction (£),July 2014 to June 2015: volume,July 2014 to June 2015: digital volume,July 2014 to June 2015: cost per transaction (£),October 2014 to September 2015: volume,October 2014 to September 2015: digital volume,October 2014 to September 2015: cost per transaction (£),January 2015 to December 2015: volume,January 2015 to December 2015: digital volume,January 2015 to December 2015: cost per transaction (£),April 2015 to March 2016: volume,April 2015 to March 2016: digital volume,April 2015 to March 2016: cost per transaction (£),July 2015 to June 2016: volume,July 2015 to June 2016: digital volume,July 2015 to June 2016: cost per transaction (£),October 2015 to September 2016: volume,October 2015 to September 2016: digital volume,October 2015 to September 2016: cost per transaction (£),January 2016 to December 2016: volume,January 2016 to December 2016: digital volume,January 2016 to December 2016: cost per transaction (£),April 2016 to March 2017: volume,April 2016 to March 2017: digital volume,April 2016 to March 2017: cost per transaction (£),July 2016 to June 2017: volume,July 2016 to June 2017: digital volume,July 2016 to June 2017: cost per transaction (£),October 2016 to September 2017: volume,October 2016 to September 2017: digital volume,October 2016 to September 2017: cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
Attorney General's Office,AGO,Treasury Solicitor's Department,TSOL,Trusts and estates: referrals of estates and company assets (bona vacantia),40000,,,,,,,,,16383,863,,18097,781,,19809,,,20667,,,22288,,,20548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.gov.uk/unclaimed-estates-bona-vacantia,Data for referrals to the bona vacantia division of the Treasury Solicitor's Office.,,,Business,Taxpayers
Attorney General's Office,AGO,Crown Prosecution Service,CPS,Witness expenses: reimbursements,55432,,,,,,,,,48362,,,47561,,,47041,,,47186,0,,46434,0,,46750,0,,46942,0,,47147,0,,47624,0,,47099,0,,46813,,,45520,,,44223,0,,43176,0,,41870,0,,41436,0,,40695,0,,40243,0,,"Requesting benefits, payments or loans",http://www.cps.gov.uk/legal/v_to_z/witnesses_expenses_and_allowances/,"Data for reimbursements made to witnesses in court appearances, to cover expenses and allowances.",,,Individuals,Taxpayers
Cabinet Office,CO,Government Digital Service,GDS,E-petitions created,36000,36000,,17150,17150,,15550,15550,,16656,16656,,15841,15841,,14915,14915,,15331,15331,,14761,14761,,14814,14814,,14984,14984,,13192,13192,,9419,9419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.gov.uk/petition-government,Data for e-petitions created.,"Costs for this service are covered by 'e-petition signatures', which uses the same system.",,Individuals,Taxpayers
Cabinet Office,CO,Cabinet Office,,Searches using the government property finder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requesting information,https://www.gov.uk/find-government-property,"Data for searches for government property to rent or buy, to contest its current use or to suggest how it could be put to better economic use.",,,[not provided],[not provided]
Cabinet Office,CO,Cabinet Office,,Nominations for honours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.gov.uk/honours/overview,"Data for nominations for the honours system to recognise people who have made achievements in public life, or committed themselves to serving and helping Britain.",,,Individuals,Taxpayers
Cabinet Office,CO,Government Digital Service,GDS,Online applications for local and regulatory authority licences,0,0,,2536,2536,,14702,14702,,31756,31756,,48786,48786,,65560,65560,,71906,71906,,78741,78741,,82766,82766,,86159,86159,,89487,89487,,95622,95622,,103627,103627,,109825,109825,,115800,115800,,125663,125663,,127519,127519,,133715,133715,,139467,139467,,,,,,,,Requesting a licence or consent,https://www.gov.uk/licence-finder,Data for applications for licences from local authorities and other licensing organisations.,,,Business,Taxpayers
Cabinet Office,CO,Cabinet Office,,Public appointments: applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.gov.uk/public-appointments,"Data for applications for positions at a public body, such as a national museum, regulatory agency or a specialist advisory council.",,,Individuals,Taxpayers
Cabinet Office,CO,Cabinet Office,,Queen's Awards: nominations for the Queen's Award Voluntary Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.gov.uk/queens-award-for-voluntary-service/overview,"Data for nominations for the QAVS, the highest award given to volunteer groups across the UK.",,,Individuals,Taxpayers
Cabinet Office,CO,Government Digital Service,GDS,E-petition signatures,6400000,6400000,0.00500,4820000,4820000,0.00664,4490000,4490000,0.00713,5118265,5118265,0.00625,4610858,4610858,0.00695,4437591,4437591,0.00721,4783747,4783747,0.00670,4408760,4408760,0.00727,4648400,4648400,0.00690,4961827,4961827,0.00646,4863624,4863624,0.00659,3868019,3868019,0.00829,,,,21692,,,,,,,,,,,,,,,,,,,,,,,,Providing information,https://www.gov.uk/petition-government,Data for signatures on e-petitions.,The costs for this service also cover 'Creating an e-petition'. The given cost per transaction is rounded up to the nearest penny.,,Individuals,Taxpayers
Cabinet Office,CO,Cabinet Office,,Voter registrations,,,,,,,,,,,,,,,,,,,,,,,,,2249081,1590283,,5663381,4106727,,7408267,5370387,,9581230,7361684,,8828143,6863160,,,,,,,,10222630,8073342,,9930588,7884349,,9446151,7515086,,8963167,7059437,,,,,8104238,6188972,,Registering,https://www.gov.uk/register-to-vote,"Data for registrations to vote in England, Scotland or Wales.",,,Individuals,Taxpayers
